angle, distance, x, y
312.125000, 0.220000, 0.147565, -0.163170
313.812500, 0.190000, 0.131537, -0.137106
315.625000, 0.220000, 0.157251, -0.153857
317.437500, 0.320000, 0.235693, -0.216446
319.062500, 0.250000, 0.188856, -0.163809
320.750000, 0.270000, 0.209086, -0.170830
322.562500, 0.280000, 0.222325, -0.170211
324.187500, 0.200000, 0.162187, -0.117027
326.000000, 0.230000, 0.190679, -0.128614
327.687500, 0.300000, 0.253544, -0.160361
330.000000, 0.240000, 0.207846, -0.120000
331.687500, 0.290000, 0.255308, -0.137541
333.312500, 0.250000, 0.223367, -0.112281
335.125000, 0.280000, 0.254024, -0.117779
336.812500, 0.350000, 0.321727, -0.137809
338.625000, 0.270000, 0.251428, -0.098407
340.250000, 0.290000, 0.272941, -0.097996
342.062500, 0.350000, 0.332988, -0.107793
343.750000, 0.340000, 0.326417, -0.095142
345.562500, 0.420000, 0.406736, -0.104716
347.187500, 0.390000, 0.380289, -0.086487
349.000000, 0.370000, 0.363202, -0.070599
350.687500, 0.520000, 0.513147, -0.084146
352.500000, 0.010000, 0.009914, -0.001305
354.125000, 0.520000, 0.517269, -0.053226
355.937500, 0.490000, 0.488769, -0.034714
357.625000, 0.480000, 0.479588, -0.019891
0.125000, 5.410000, 5.409987, 0.011803
1.812500, 5.420000, 5.417288, 0.171428
3.437500, 5.470000, 5.460158, 0.327980
5.062500, 5.520000, 5.498467, 0.487098
6.875000, 5.520000, 5.480309, 0.660764
8.562500, 1.090000, 1.077851, 0.162288
10.375000, 0.840000, 0.826266, 0.151276
12.000000, 0.850000, 0.831425, 0.176725
13.687500, 0.900000, 0.874441, 0.212964
15.312500, 0.850000, 0.819825, 0.224471
16.937500, 0.890000, 0.851395, 0.259282
18.750000, 0.920000, 0.871176, 0.295724
20.437500, 0.930000, 0.871460, 0.324742
22.250000, 0.950000, 0.879263, 0.359716
24.062500, 0.880000, 0.803529, 0.358805
25.687500, 4.080000, 3.676780, 1.768527
27.562500, 0.980000, 0.868776, 0.453462
29.187500, 0.910000, 0.794456, 0.443779
31.000000, 0.010000, 0.008572, 0.005150
32.625000, 0.870000, 0.732729, 0.469050
34.500000, 4.050000, 3.337711, 2.293945
36.125000, 3.860000, 3.117848, 2.275659
37.937500, 3.700000, 2.918123, 2.274766
39.562500, 3.630000, 2.798477, 2.312018
41.250000, 3.490000, 2.623921, 2.301117
43.062500, 3.420000, 2.498684, 2.335161
45.062500, 3.290000, 2.323842, 2.328918
46.687500, 0.010000, 0.006860, 0.007276
48.500000, 0.590000, 0.390946, 0.441884
50.187500, 0.530000, 0.339347, 0.407116
51.812500, 0.550000, 0.340030, 0.432295
53.437500, 0.490000, 0.291893, 0.393572
55.125000, 0.510000, 0.291612, 0.418405
56.750000, 0.480000, 0.263181, 0.401417
58.562500, 0.470000, 0.245137, 0.401009
60.187500, 0.480000, 0.238638, 0.416475
62.062500, 0.450000, 0.210829, 0.397557
64.062500, 0.450000, 0.196826, 0.404672
65.875000, 0.470000, 0.192102, 0.428948
67.687500, 0.300000, 0.113897, 0.277538
69.312500, 0.290000, 0.102449, 0.271301
71.187500, 0.420000, 0.135438, 0.397563
72.812500, 0.380000, 0.112290, 0.363030
74.625000, 0.420000, 0.111357, 0.404969
76.250000, 0.340000, 0.080813, 0.330256
78.125000, 0.350000, 0.072022, 0.342510
79.750000, 0.350000, 0.062280, 0.344414
81.562500, 0.330000, 0.048421, 0.326428
83.187500, 0.400000, 0.047448, 0.397176
84.875000, 0.320000, 0.028585, 0.318721
86.687500, 0.380000, 0.021957, 0.379365
88.687500, 0.340000, 0.007788, 0.339911
90.312500, 0.750000, -0.004091, 0.749989
92.000000, 1.980000, -0.069101, 1.978794
93.625000, 1.320000, -0.083458, 1.317359
95.250000, 2.300000, -0.210454, 2.290351
97.062500, 2.320000, -0.285249, 2.302397
98.750000, 2.310000, -0.351405, 2.283115
100.562500, 2.320000, -0.425275, 2.280689
102.187500, 2.330000, -0.491890, 2.277486
104.000000, 2.360000, -0.570936, 2.289898
105.687500, 2.390000, -0.646233, 2.300974
107.500000, 2.370000, -0.712673, 2.260309
109.125000, 4.880000, -1.598835, 4.610654
111.125000, 4.530000, -1.632629, 4.225568
112.812500, 4.170000, -1.616779, 3.843817
114.437500, 0.010000, -0.004137, 0.009104
116.250000, 2.210000, -0.977458, 1.982089
117.875000, 2.400000, -1.122106, 2.121527
119.750000, 2.430000, -1.205806, 2.109723
121.375000, 2.360000, -1.228704, 2.014916
123.187500, 1.250000, -0.684226, 1.046105
124.812500, 0.010000, -0.005709, 0.008210
126.500000, 21.360000, -12.705415, 17.170383
128.125000, 0.010000, -0.006174, 0.007867
129.937500, 0.620000, -0.398010, 0.475382
131.562500, 0.530000, -0.351621, 0.396563
133.625000, 0.490000, -0.338068, 0.354697
135.250000, 0.500000, -0.355093, 0.352007
137.062500, 0.440000, -0.322123, 0.299728
138.687500, 0.510000, -0.383071, 0.336684
140.562500, 0.480000, -0.370713, 0.304913
142.187500, 0.440000, -0.347609, 0.269755
144.000000, 0.400000, -0.323607, 0.235114
145.625000, 0.420000, -0.346651, 0.237135
147.500000, 0.480000, -0.404828, 0.257904
149.125000, 0.470000, -0.403396, 0.241188
150.750000, 0.420000, -0.366448, 0.205221
152.375000, 0.390000, -0.345541, 0.180836
154.250000, 0.280000, -0.252196, 0.121645
155.875000, 0.350000, -0.319430, 0.143055
157.687500, 0.270000, -0.249784, 0.102508
159.312500, 0.230000, -0.215170, 0.081252
161.187500, 0.340000, -0.321837, 0.109641
162.812500, 0.320000, -0.305710, 0.094560
164.437500, 0.190000, -0.183034, 0.050975
166.125000, 0.250000, -0.242705, 0.059951
167.750000, 0.280000, -0.273625, 0.059410
169.562500, 0.290000, -0.285201, 0.052537
171.187500, 0.230000, -0.227285, 0.035236
173.062500, 0.330000, -0.327584, 0.039860
174.687500, 0.350000, -0.348497, 0.032406
176.500000, 0.290000, -0.289459, 0.017704
177.937500, 0.340000, -0.339780, 0.012236
179.812500, 0.280000, -0.279999, 0.000916
181.437500, 0.290000, -0.289909, -0.007275
183.250000, 0.430000, -0.429308, -0.024378
184.875000, 0.480000, -0.478264, -0.040791
186.750000, 0.440000, -0.436950, -0.051716
188.375000, 0.490000, -0.484775, -0.071369
190.187500, 0.510000, -0.501959, -0.090204
191.812500, 0.440000, -0.430682, -0.090072
193.500000, 0.390000, -0.379224, -0.091044
195.125000, 0.400000, -0.386144, -0.104370
196.750000, 0.420000, -0.402180, -0.121042
198.437500, 0.420000, -0.398441, -0.132833
200.250000, 0.570000, -0.534769, -0.197287
202.062500, 0.010000, -0.009268, -0.003756
203.687500, 0.270000, -0.247253, -0.108472
205.500000, 0.480000, -0.433241, -0.206645
